model,accuracy,precision,recall,f1,auroc,auprc,accuracy_std,precision_std,recall_std,f1_std,auroc_std,auprc_std
LogReg,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
RF,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
MLP,0.9981538461538461,0.9921508316245157,1.0,0.9960381085163239,0.9999964444444445,0.9999883040935671,0.0021901698978525844,0.009276527214165615,0.0,0.004691128176867687,1.3303670708533642e-05,4.376207469909395e-05
