,0
honey_frac,0.5227146996139155
honey_touches,0.4693265632079885
nav_speed,0.2943406744939915
dir_entropy,0.2636179777623034
failed_logins,0.2607438634682074
cred_searches,0.25762359186430306
fin_searches,0.24401318177967826
mean_dwell,0.2409035794986897
n_files,0.15719330822024713
backtrack_rate,0.14178685313843054
hesitation,0.10351377582202072
dwell_var,0.04827022202786157
session_duration,0.044801786212581074
search_to_open,0.0400870417383712
burstiness,0.027551702397713235
interevent_entropy,0.014214366420338624
start_hour,0.009715253814744357
off_hours,0.008874764499167883
infra_searches,0.00014575099804760207
