k,precision,recall,f1,auprc
1,1.0,0.0026666666666666666,0.005319148936170213,0.2615877629401812
3,0.6297968397291196,0.744,0.6821515892420538,0.6146043073749116
5,0.8872727272727273,0.6506666666666666,0.7507692307692307,0.8650549149406115
7,0.9402985074626866,0.672,0.7838258164852255,0.8955873255383051
10,0.9278350515463918,0.72,0.8108108108108109,0.9123195894317685
15,0.9352750809061489,0.7706666666666667,0.8450292397660819,0.9345835929086868
20,0.9503105590062112,0.816,0.8780487804878049,0.9464244160750472
30,0.9488636363636364,0.8906666666666667,0.9188445667125172,0.9765064324362186
