,0
honey_frac,0.27320883115939953
honey_touches,0.219113177608564
hesitation,0.09978712636585937
nav_speed,0.060083881446671296
cred_searches,0.06006613728115021
dir_entropy,0.05058520437488909
fin_searches,0.04581658205175466
failed_logins,0.03808458945318758
mean_dwell,0.03309371718455873
n_files,0.02357392967908482
backtrack_rate,0.01869981945200834
session_duration,0.0167822565615159
search_to_open,0.01594634300806293
dwell_var,0.013247875675235235
burstiness,0.01271762802497923
interevent_entropy,0.009413561841244398
start_hour,0.006195735136009857
infra_searches,0.0023954001436782323
off_hours,0.0011882035521465746
