ablation,n_features,f1,f1_std,recall_stealth_A3A4
full,19,0.9449874233318414,0.010386749818289498,0.8145695364238411
no_deception,12,0.9125001211460678,0.01523581238847785,0.6887417218543046
no_temporal,12,0.9429130076752673,0.011443565237525705,0.8344370860927153
no_speed,15,0.9364943250485521,0.011785485828155163,0.7748344370860927
no_intent,16,0.9423654419004687,0.00935779525486172,0.8344370860927153
deception_only,7,0.936148631468657,0.010464030990646753,0.7947019867549668
behavioral_only,17,0.9227330148883397,0.014752385537950802,0.7549668874172185
