model,accuracy,precision,recall,f1,auroc,auprc,accuracy_std,precision_std,recall_std,f1_std,auroc_std,auprc_std
LogReg,0.9700000000000001,0.9647761347694797,0.9237777777777777,0.9437576223760911,0.9928344444444446,0.9858334166161035,0.005863460180580765,0.01020485590401328,0.01659391529119508,0.011196731068145407,0.002914361575896475,0.0048078293987509615
RF,0.9707272727272725,0.9680846097370157,0.9231111111111112,0.9449874233318414,0.9919320833333333,0.9857061355102146,0.005313323344073618,0.006772273713090199,0.01710389458212787,0.010386749818289498,0.0032723985815991275,0.004934668880564334
SVM-RBF,0.9730303030303029,0.9785397572352977,0.9213333333333333,0.9490086967511768,0.9902508333333332,0.9839657748634836,0.004806637590035974,0.006328670102446953,0.01562524073888617,0.009401602401003866,0.004152550030915868,0.006048770637825822
MLP,0.9694545454545456,0.9641378044068234,0.9224444444444444,0.9427259288451547,0.9924419444444444,0.9855345018096136,0.005432277779465839,0.011774727560288023,0.016351086345908587,0.010426851280290606,0.003073532270415257,0.005062234016771881
