lambda,BSI,jsd_max,accuracy,precision,recall,recall_std,f1,f1_std,auprc,auprc_std,bal_err,ceiling
0.0,0.31918176845367835,0.6710910899636813,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.015910106262313872
0.2,0.2989454009905585,0.6509704279415146,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.030424095921705252
0.4,0.26973731118521216,0.6338915464368575,0.99991452991453,1.0,0.9996296296296295,0.0013857990321384918,0.9998142989786445,0.0006948295982867011,1.0,0.0,0.00018518518518523264,0.042743904747054806
0.6,0.20720879780261434,0.5446184661222194,0.9983760683760683,0.9985122650823944,0.9944444444444444,0.006415002990995845,0.9964654386397029,0.00387793649220797,0.9998561691512643,0.00026124195344823947,0.003000028887056404,0.10714081987446006
0.8,0.1541747819178633,0.4321059963324955,0.9868376068376068,0.9807860669858293,0.9618518518518517,0.011270462262742913,0.9711819082409406,0.006597176160088493,0.9926313312459115,0.0040506527440812195,0.02190052486795117,0.18830141097636205
1.0,0.06750492594839104,0.2708650045486009,0.9163247863247863,0.8674771809240781,0.752962962962963,0.03307720527669053,0.8057424023709514,0.024718206925342535,0.8969393588492403,0.0168628541824988,0.14077282388341272,0.30461220059368344
